experiment,group,recall_at_10_all_valid_users,recall_at_10_target_overlap_users,time_sec,notes
LightGCN + recent_pop_180d alpha=0.1,blend_recent_pop_180d,0.013014613760882416,0.013028534370946823,4.842004060745239,rrf score blend with alpha=0.1
LightGCN + category_pop_365d alpha=0.1,blend_category_pop_365d,0.012155012155012154,0.013028534370946823,4.792970180511475,rrf score blend with alpha=0.1
LightGCN + category_pop_365d alpha=0.075,blend_category_pop_365d,0.012087780744497161,0.013028534370946823,4.770551681518555,rrf score blend with alpha=0.075
LightGCN + category_pop_365d alpha=0.05,blend_category_pop_365d,0.011986933628724673,0.013028534370946823,4.783287763595581,rrf score blend with alpha=0.05
LightGCN + category_pop_365d alpha=0.035,blend_category_pop_365d,0.011885339497279794,0.013028534370946823,4.809913396835327,rrf score blend with alpha=0.035
LightGCN + sequence_transition alpha=0.3,blend_sequence_transition,0.012324958220480608,0.012911802853437094,3.9186458587646484,rrf score blend with alpha=0.3
LightGCN + recent_pop_180d alpha=0.05,blend_recent_pop_180d,0.011912232061485792,0.012833981841763943,4.7391767501831055,rrf score blend with alpha=0.05
LightGCN + recent_pop_365d alpha=0.05,blend_recent_pop_365d,0.011897291748038018,0.012833981841763943,4.765639543533325,rrf score blend with alpha=0.05
LightGCN + itemknn_cosine alpha=0.035,blend_itemknn_cosine,0.011896544732365628,0.012833981841763943,4.017302751541138,rrf score blend with alpha=0.035
LightGCN + sequence_transition alpha=0.035,blend_sequence_transition,0.011896544732365628,0.012833981841763943,3.8988142013549805,rrf score blend with alpha=0.035
LightGCN + LightGCN_popular_negatives alpha=0.02,blend_LightGCN_popular_negatives,0.01188982159131413,0.012833981841763943,5.34181022644043,rrf score blend with alpha=0.02
LightGCN + LightGCN_popular_negatives alpha=0.035,blend_LightGCN_popular_negatives,0.011811384945713302,0.012833981841763943,5.171803951263428,rrf score blend with alpha=0.035
LightGCN + itemknn_cosine alpha=0.02,blend_itemknn_cosine,0.011795697616593138,0.012833981841763943,4.036520719528198,rrf score blend with alpha=0.02
LightGCN + recent_pop_365d alpha=0.035,blend_recent_pop_365d,0.011777769240455808,0.012833981841763943,4.761809349060059,rrf score blend with alpha=0.035
LightGCN + sequence_transition alpha=0.02,blend_sequence_transition,0.011762081911335643,0.012833981841763943,4.073571681976318,rrf score blend with alpha=0.02
LightGCN + recent_pop_180d alpha=0.02,blend_recent_pop_180d,0.011732948300112478,0.012833981841763943,4.884521961212158,rrf score blend with alpha=0.02
LightGCN + recent_pop_180d alpha=0.035,blend_recent_pop_180d,0.011732948300112478,0.012833981841763943,4.85317325592041,rrf score blend with alpha=0.035
LightGCN + recent_pop_365d alpha=0.02,blend_recent_pop_365d,0.011732948300112478,0.012833981841763943,4.845875263214111,rrf score blend with alpha=0.02
LightGCN + content_tfidf alpha=0.075,blend_content_tfidf,0.011721743065026645,0.012833981841763943,53.11454892158508,rrf score blend with alpha=0.075
LightGCN + category_pop_365d alpha=0.02,blend_category_pop_365d,0.011710537829940816,0.012833981841763943,4.776344299316406,rrf score blend with alpha=0.02
LightGCN_plain,baseline,0.011661234795563153,0.012833981841763943,1.4949009418487549,Plain binary user-item graph with uniform negatives.
LightGCN + recent_pop_180d alpha=0.002,blend_recent_pop_180d,0.011661234795563153,0.012833981841763943,4.766546249389648,rrf score blend with alpha=0.002
